[32mINFO   [0m      StepLogger:  → QEMUNetworkStrategy.transition(state='shell') 
[32mINFO   [0m      StepLogger:  ↓ QEMUNetworkStrategy.transition() skipped=nothing to do
[32mINFO   [0m      StepLogger:  ← QEMUNetworkStrategy.transition()
[32mINFO   [0m      StepLogger:  → ShellDriver.run(cmd='logread') 
CONSOLE SerialLogger.ma:   QemuDriver(main) > echo 'TMFW''AYBCPC'␤␍␤
[32mINFO   [0m      StepLogger:   → QEMUDriver.expect(pattern='TMFWAYBCPC\\s+root@[\\w()]+:[^ ]+ ') 
CONSOLE SerialLogger.ma:    QemuDriver(main) < echo 'TMFW''AYBCPC'␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < TMFWAYBCPC␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < root@OpenWrt:~# ␍␤
[32mINFO   [0m      StepLogger:   ← QEMUDriver.expect() result=(0, b"echo 'TMFW''AYBCPC'\r\n", <re.Match object; span=(21, 49), match=b'TMFWAYBCPC\r\nroot@OpenWrt:… [0.013s]
CONSOLE SerialLogger.ma:   QemuDriver(main) > MARKER='KVAJ''QPEWCT' run logread␤␍␤
[32mINFO   [0m      StepLogger:   → QEMUDriver.expect(pattern='KVAJQPEWCT(.*)KVAJQPEWCT\\s+(\\d+)\\s+root@[\\w()]+:[^ ]+ ') 
CONSOLE SerialLogger.ma:    QemuDriver(main) < MARKER='KVAJ''QPEWCT' run logread␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < KVAJQPEWCTWed Jun 25 22:15:57 2025 kern.info kernel: [    0.000000] Booting Linux on physical CPU 0x0000000000 [0x411fd070]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.notice kernel: [    0.000000] Linux version 6.6.94 (builder@buildhost) (aarch64-openwrt-linux-musl-gcc (OpenWrt GCC 14.3.0 r30226-6a1d7bf52b) 14.3.0, GNU ld (GNU Binutils) 2.42) #0 SMP Wed Jun 25 11:29:00 2025␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.000000] KASLR enabled␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.notice kernel: [    0.000000] random: crng init done␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.000000] Machine model: linux,dummy-virt␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.000000] efi: UEFI not found.␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.000000] NUMA: No NUMA configuration found␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.000000] NUMA: Faking a node at [mem 0x0000000040000000-0x0000000047ffffff]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.000000] NUMA: NODE_DATA [mem 0x47fab380-0x47fadfff]␍␤
CONSOLE SerialLogger.ma:    QemuDriver(main) < Wed Jun 25 22:15:57 2025 kern.info kernel: [    0.000000] Zone ranges:␍␤
