"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","316","test_kernel_errors","qemu-malta-be","Thu Jul 03 21:26:48 GMT 2025","passed","Thu Jul 03 21:26:48 GMT 2025","","test_base","",""
"","80","test_free_memory","tplink_tl-wdr3600-v1","Thu Jul 03 21:29:50 GMT 2025","passed","Thu Jul 03 21:29:50 GMT 2025","","test_base","",""
"","0","test_opkg_install_ucert","tests","Thu Jul 03 21:28:01 GMT 2025","skipped","Thu Jul 03 21:28:01 GMT 2025","","test_opkg","",""
"","104","test_uname","tplink_tl-wdr4300-v1","Thu Jul 03 21:27:28 GMT 2025","passed","Thu Jul 03 21:27:28 GMT 2025","","test_base","",""
"","49","test_uname","openwrt_one","Thu Jul 03 21:27:28 GMT 2025","passed","Thu Jul 03 21:27:28 GMT 2025","","test_base","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Thu Jul 03 21:27:33 GMT 2025","skipped","Thu Jul 03 21:27:33 GMT 2025","","test_wifi","",""
"","0","test_opkg_procd_installed","tests","Thu Jul 03 21:27:33 GMT 2025","skipped","Thu Jul 03 21:27:33 GMT 2025","","test_opkg","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Thu Jul 03 21:27:30 GMT 2025","skipped","Thu Jul 03 21:27:30 GMT 2025","","test_wifi","",""
"","244","test_ssh_supported_algorithms","tplink_tl-wdr4300-v1","Thu Jul 03 21:27:33 GMT 2025","passed","Thu Jul 03 21:27:33 GMT 2025","","test_network_security","",""
"","147","test_shell","qemu-x86-64","Thu Jul 03 21:27:11 GMT 2025","passed","Thu Jul 03 21:27:11 GMT 2025","","test_base","",""
"","650","test_shell","tplink_tl-wdr3600-v1","Thu Jul 03 21:28:37 GMT 2025","passed","Thu Jul 03 21:28:37 GMT 2025","","test_base","",""
"","279","test_uname","qemu-armsr-armv8","Thu Jul 03 21:28:17 GMT 2025","passed","Thu Jul 03 21:28:17 GMT 2025","","test_base","",""
"
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
","0","test_wifi_hwsim_sae_mixed","tests","Thu Jul 03 21:28:01 GMT 2025","skipped","Thu Jul 03 21:28:01 GMT 2025","","test_wifi","",""
"","0","test_apk_add_ucert","tests","Thu Jul 03 21:26:02 GMT 2025","skipped","Thu Jul 03 21:26:02 GMT 2025","","test_apk","",""
"","4449","test_firmware_version","tplink_tl-wr1043nd-v3","Thu Jul 03 21:28:52 GMT 2025","passed","Thu Jul 03 21:28:56 GMT 2025","","test_base","",""
