"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 16:13:18 GMT 2025","Mon Jun 23 16:13:19 GMT 2025","671","genexis-pulse-ex400","test_base","","","","test_uname",""
"passed","Mon Jun 23 16:13:17 GMT 2025","Mon Jun 23 16:13:18 GMT 2025","820","genexis-pulse-ex400","test_base","","","","test_echo",""
"skipped","Mon Jun 23 16:13:12 GMT 2025","Mon Jun 23 16:13:12 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"passed","Mon Jun 23 16:14:07 GMT 2025","Mon Jun 23 16:14:11 GMT 2025","3857","turris-omnia","test_lan","","","","test_lan_interface_address",""
"passed","Mon Jun 23 16:13:59 GMT 2025","Mon Jun 23 16:13:59 GMT 2025","52","turris-omnia","test_base","","","","test_ssh",""
"skipped","Mon Jun 23 16:12:20 GMT 2025","Mon Jun 23 16:12:20 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"passed","Mon Jun 23 16:13:03 GMT 2025","Mon Jun 23 16:13:03 GMT 2025","662","openwrt-one","test_base","","","","test_free_memory",""
"skipped","Mon Jun 23 16:13:59 GMT 2025","Mon Jun 23 16:13:59 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"passed","Mon Jun 23 16:13:02 GMT 2025","Mon Jun 23 16:13:03 GMT 2025","968","openwrt-one","test_base","","","","test_ubus_system_board",""
"skipped","Mon Jun 23 16:12:20 GMT 2025","Mon Jun 23 16:12:20 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"skipped","Mon Jun 23 16:13:46 GMT 2025","Mon Jun 23 16:13:46 GMT 2025","0","tests","test_opkg","","","","test_opkg_procd_installed",""
"skipped","Mon Jun 23 16:13:42 GMT 2025","Mon Jun 23 16:13:42 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"passed","Mon Jun 23 16:13:38 GMT 2025","Mon Jun 23 16:13:41 GMT 2025","2929","turris-omnia","test_base","","","","test_uname",""
"skipped","Mon Jun 23 16:13:42 GMT 2025","Mon Jun 23 16:13:42 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"passed","Mon Jun 23 16:13:21 GMT 2025","Mon Jun 23 16:13:36 GMT 2025","15123","genexis-pulse-ex400","test_base","","","","test_dropbear_startup",""
"skipped","Mon Jun 23 16:12:25 GMT 2025","Mon Jun 23 16:12:25 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"skipped","Mon Jun 23 16:13:46 GMT 2025","Mon Jun 23 16:13:46 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
"skipped","Mon Jun 23 16:12:25 GMT 2025","Mon Jun 23 16:12:25 GMT 2025","0","tests","test_apk","","","","test_apk_add_ucert",""
"skipped","Mon Jun 23 16:14:11 GMT 2025","Mon Jun 23 16:14:11 GMT 2025","0","tests","test_opkg","","","","test_opkg_install_ucert",""
"skipped","Mon Jun 23 16:13:46 GMT 2025","Mon Jun 23 16:13:46 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"skipped","Mon Jun 23 16:12:20 GMT 2025","Mon Jun 23 16:12:20 GMT 2025","0","tests","test_apk","","","","test_apk_procd_installed",""
"passed","Mon Jun 23 16:13:20 GMT 2025","Mon Jun 23 16:13:21 GMT 2025","692","genexis-pulse-ex400","test_base","","","","test_free_memory",""
"passed","Mon Jun 23 16:13:34 GMT 2025","Mon Jun 23 16:13:38 GMT 2025","3824","turris-omnia","test_base","","","","test_echo",""
"passed","Mon Jun 23 16:13:19 GMT 2025","Mon Jun 23 16:13:20 GMT 2025","957","genexis-pulse-ex400","test_base","","","","test_ubus_system_board",""
"passed","Mon Jun 23 16:13:42 GMT 2025","Mon Jun 23 16:13:42 GMT 2025","62","genexis-pulse-ex400","test_base","","","","test_ssh",""
"passed","Mon Jun 23 16:13:46 GMT 2025","Mon Jun 23 16:13:46 GMT 2025","853","genexis-pulse-ex400","test_lan","","","","test_lan_interface_address",""
"skipped","Mon Jun 23 16:13:08 GMT 2025","Mon Jun 23 16:13:08 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup",""
"passed","Mon Jun 23 16:13:11 GMT 2025","Mon Jun 23 16:13:12 GMT 2025","857","openwrt-one","test_lan","","","","test_lan_interface_address",""
"passed","Mon Jun 23 16:13:45 GMT 2025","Mon Jun 23 16:13:48 GMT 2025","2888","turris-omnia","test_base","","","","test_free_memory",""
"passed","Mon Jun 23 16:13:31 GMT 2025","Mon Jun 23 16:13:34 GMT 2025","2631","turris-omnia","test_base","","","","test_shell",""
"passed","Mon Jun 23 16:13:03 GMT 2025","Mon Jun 23 16:13:06 GMT 2025","2979","openwrt-one","test_base","","","","test_dropbear_startup",""
"passed","Mon Jun 23 16:13:59 GMT 2025","Mon Jun 23 16:14:07 GMT 2025","7694","turris-omnia","test_base","","","","test_kernel_errors",""
"passed","Mon Jun 23 16:13:00 GMT 2025","Mon Jun 23 16:13:01 GMT 2025","811","openwrt-one","test_base","","","","test_echo",""
"skipped","Mon Jun 23 16:13:08 GMT 2025","Mon Jun 23 16:13:08 GMT 2025","0","tests","test_base","","","","test_sysupgrade_backup_u",""
"skipped","Mon Jun 23 16:13:12 GMT 2025","Mon Jun 23 16:13:12 GMT 2025","0","tests","test_wan","","","","test_https_download",""
"passed","Mon Jun 23 16:13:00 GMT 2025","Mon Jun 23 16:13:00 GMT 2025","570","openwrt-one","test_base","","","","test_shell",""
"skipped","Mon Jun 23 16:13:12 GMT 2025","Mon Jun 23 16:13:12 GMT 2025","0","tests","test_wifi","","","","test_wifi_hwsim_sae_mixed","
Test wifi configuration.

This test creates one AP and one station and checks if they can connect to each other.
It sets up the wireless configuration using the `ssh_command` fixture and relies on the
""hwsim"" driver to create the virtual radios.
"
