[32mINFO   [0m      StepLogger:  → ShellDriver.run_check(cmd="ubus call network.interface.wan status '{}'") 
CONSOLE SerialLogger.ma:   SerialDriver(main) > echo 'HUZN''HZUEOJ'␤␍␤
[32mINFO   [0m      StepLogger:   → SerialDriver.expect(pattern='HUZNHZUEOJ\\s+root@[\\w()]+:[^ ]+ ') 
CONSOLE SerialLogger.ma:    SerialDriver(main) < echo 'HUZN''HZUEOJ'␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < HUZNHZUEOJ␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < root@OpenWrt:~# ␍␤
[32mINFO   [0m      StepLogger:   ← SerialDriver.expect() result=(0, b"echo 'HUZN''HZUEOJ'\r\n", <re.Match object; span=(21, 49), match=b'HUZNHZUEOJ\r\nroot@OpenWrt:… [0.012s]
CONSOLE SerialLogger.ma:   SerialDriver(main) > MARKER='XEGG''QPHMOL' run 'ubus call network.interface.wan status '"'"'{}'"'"''␤␍␤
[32mINFO   [0m      StepLogger:   → SerialDriver.expect(pattern='XEGGQPHMOL(.*)XEGGQPHMOL\\s+(\\d+)\\s+root@[\\w()]+:[^ ]+ ') 
CONSOLE SerialLogger.ma:    SerialDriver(main) < MARKER='XEGG''QPHMOL' run 'ubus call network.interface.wan statu␍␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < s '"'"'{}'"'"''␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < XEGGQPHMOL{␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"up": true,␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"pending": false,␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"available": true,␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"autostart": true,␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"dynamic": false,␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"uptime": 8,␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"l3_device": "wan",␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"proto": "dhcp",␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"device": "wan",␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"updated": [␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 		"addresses",␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 		"routes",␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 		"data"␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	],␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"metric": 0,␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"dns_metric": 0,␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"delegation": true,␍␤
CONSOLE SerialLogger.ma:    SerialDriver(main) < 	"ipv4-address": [␍␤
